CustomerId,Gender,Geography,Age,AccountStatus,MembershipStatus,Balance,EstimatedSalary,CreditScore,MembershipYears,Card Type,Satisfaction Score
15568164,Female,France,34,Open,Active Member,71379.53,154000.99,850,4,DIAMOND,4
15570004,Male,France,31,Open,Inactive Member,0,121866.87,850,3,SILVER,1
15573348,Male,France,35,Open,Active Member,102050.47,3769.71,850,9,SILVER,5
15574352,Male,France,43,Open,Active Member,161256.53,140071.57,850,4,SILVER,5
15577398,Male,France,30,Open,Active Member,86449.39,188809.23,850,6,GOLD,2
15577999,Female,France,62,Closed,Inactive Member,124678.35,70916,850,1,GOLD,4
15579777,Male,France,41,Open,Inactive Member,0,128892.36,850,3,SILVER,3
15587507,Male,France,47,Closed,Inactive Member,0,187391.02,850,6,DIAMOND,3
15587735,Male,France,39,Open,Active Member,96863.13,121681.19,850,6,DIAMOND,4
15587835,Male,France,41,Open,Active Member,136416.82,57844.26,850,3,GOLD,2
15588219,Female,France,38,Open,Inactive Member,106871.81,29333.01,850,1,SILVER,3
15589969,Male,France,34,Open,Active Member,0,52796.31,850,6,GOLD,3
15590320,Male,France,66,Open,Active Member,0,64350.8,850,4,SILVER,5
15593468,Female,France,33,Open,Active Member,0,11159.19,850,3,SILVER,4
15594349,Male,France,49,Open,Active Member,122486.47,59748.19,850,5,DIAMOND,3
15597487,Female,France,35,Open,Active Member,0,80992.8,850,5,PLATINUM,5
15610686,Male,France,63,Closed,Inactive Member,169832.57,184107.26,850,8,SILVER,1
15621457,Male,France,27,Open,Inactive Member,96654.72,152740.16,850,6,PLATINUM,2
15624423,Male,France,28,Open,Inactive Member,99986.98,196582.55,850,8,PLATINUM,3
15624471,Male,France,37,Open,Inactive Member,0,109291.22,850,6,DIAMOND,1
15624850,Male,France,30,Open,Inactive Member,153972.89,62811.03,850,10,DIAMOND,1
15626985,Female,France,39,Open,Inactive Member,104386.53,105886.77,850,0,SILVER,1
15627847,Male,France,40,Closed,Inactive Member,0,136985.08,850,6,DIAMOND,1
15628292,Male,France,32,Open,Active Member,156001.68,151677.31,850,4,GOLD,1
15628308,Female,France,24,Open,Active Member,0,13159.9,850,6,DIAMOND,3
15629885,Female,France,33,Open,Inactive Member,118004.26,183983.82,850,7,SILVER,5
15633870,Female,France,36,Open,Active Member,0,100750.03,850,10,SILVER,4
15634591,Male,France,33,Open,Active Member,73059.38,186281,850,8,PLATINUM,5
15639415,Male,France,35,Open,Inactive Member,162442.35,183566.78,850,3,GOLD,3
